共盈三农电子商务平台,创新训练项目,大连工业大学艺术与信息工程学院,管理学,管理学,2019/5/31,10000,5
开心微校,创业训练项目,大连工业大学艺术与信息工程学院,工学,工学,2019/5/31,10000,5
快速垃圾分类处理器,创新训练项目,大连工业大学艺术与信息工程学院,工学,工学,2019/5/31,0,4
“e鲜庄河”—“文旅融合”农鲜产业互助交易平台,创新训练项目,大连工业大学艺术与信息工程学院,管理学,管理学,2019/5/31,10000,5
茱萸表,创新训练项目,大连工业大学艺术与信息工程学院,工学,工学,2019/5/31,10000,4
传感信读书,创新训练项目,大连工业大学艺术与信息工程学院,管理学,管理学,2019/5/31,10000,5
优视·庄河城镇企业创形设计信息平台,创新训练项目,大连工业大学艺术与信息工程学院,艺术学,艺术学,2019/5/31,0,5
快易佳智慧校园,创新训练项目,大连工业大学艺术与信息工程学院,艺术学,艺术学,2019/5/31,0,4
跃时光·线上会展,创新训练项目,大连工业大学艺术与信息工程学院,艺术学,艺术学,2019/5/31,0,4
蹭车狗,创新训练项目,大连工业大学艺术与信息工程学院,工学,工学,2019/5/31,0,5
”外文研究社“周推外国原版阅读资源学习交流打卡平台建设,创新训练项目,大连工业大学艺术与信息工程学院,文学,文学,2019/5/31,0,5
Futureapp,创新训练项目,大连工业大学艺术与信息工程学院,工学,工学,2019/5/31,10000,3
“益农”城乡互助消费o2o平台,创新训练项目,大连工业大学艺术与信息工程学院,管理学,管理学,2019/5/31,10000,3
VVS,创新训练项目,大连工业大学艺术与信息工程学院,工学,工学,2019/5/31,10000,4
助农惠农APP,创新训练项目,大连工业大学艺术与信息工程学院,管理学,管理学,2019/5/31,0,3
智能科技感服饰的面料与设计,创新训练项目,大连工业大学艺术与信息工程学院,艺术学,艺术学,2019/5/31,0,2
树洞日记,创新训练项目,大连工业大学艺术与信息工程学院,工学,工学,2019/5/31,0,4
校园护卫管理系统,创新训练项目,大连工业大学艺术与信息工程学院,管理学,管理学,2019/5/31,0,5
校园通App,创新训练项目,大连工业大学艺术与信息工程学院,工学,工学,2019/5/31,0,2
宠物监管系统,创新训练项目,大连工业大学艺术与信息工程学院,工学,工学,2019/5/31,0,5
游泳馆监控系统模拟设计,创新训练项目,大连工业大学艺术与信息工程学院,管理学,管理学,2019/5/31,0,3
资源循环共享平台,创新训练项目,大连工业大学艺术与信息工程学院,经济学,经济学,2019/5/31,0,5
佑创（大连）多媒体有限公司-庄河大学城工作室,创业训练项目,大连工业大学艺术与信息工程学院,艺术学,艺术学,2019/5/31,0,5
《寻》,创新训练项目,大连工业大学艺术与信息工程学院,工学,工学,2019/5/31,0,5
健身洗衣机,创新训练项目,大连工业大学艺术与信息工程学院,管理学,管理学,2019/5/31,0,2
基于“互联网+”的学生益趣课堂APP设计,创新训练项目,大连工业大学艺术与信息工程学院,工学,工学,2019/5/31,0,1
二十七号工作室,创业训练项目,大连工业大学艺术与信息工程学院,艺术学,艺术学,2019/5/31,0,4
儿童手机监管通,创新训练项目,大连工业大学艺术与信息工程学院,经济学,经济学,2019/5/31,0,3
牙乐帮,创新训练项目,大连工业大学艺术与信息工程学院,医学,医学,2019/5/31,0,3
互联网+家庭安全监测报警器,创新训练项目,大连工业大学艺术与信息工程学院,工学,工学,2019/5/31,0,4
基于微信的工大艺信结语伴学语言品文化学习交流平台建设研究,创新训练项目,大连工业大学艺术与信息工程学院,文学,文学,2019/5/31,0,2
360全景通,创新训练项目,大连工业大学艺术与信息工程学院,管理学,管理学,2019/5/31,0,5
共享鞋套机,创新训练项目,大连工业大学艺术与信息工程学院,艺术学,艺术学,2019/5/31,0,5
用于醛氧化的多酸催化剂的设计合成,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,1
基于氮掺杂功能界面的异烟肼检测应用研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,1
基于分子筛的低味猫砂的创新性研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
第３３届化学奥林匹克化学实验试题研究,创新训练项目,大连理工大学,理学,理学,2019/5/31,10000,3
